pair_id,case_id,scenario_1_id,scenario_2_id,decision_1,decision_2,causal_delta
pair_1,CASE-3651_vs_CASE-3825,case-3652,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_2,CASE-3651_vs_CASE-3827,case-3652,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_3,CASE-3651_vs_CASE-3829,case-3652,case-3830,escalate,refuse_due_to_policy,trigger_phrase
pair_4,CASE-3651_vs_CASE-3831,case-3652,case-3832,escalate,refuse_due_to_policy,trigger_phrase
pair_5,CASE-3651_vs_CASE-3833,case-3652,case-3834,escalate,refuse_due_to_policy,trigger_phrase
pair_6,CASE-3651_vs_CASE-3835,case-3652,case-3836,escalate,refuse_due_to_policy,trigger_phrase
pair_7,CASE-3651_vs_CASE-3837,case-3652,case-3838,escalate,refuse_due_to_policy,trigger_phrase
pair_8,CASE-3651_vs_CASE-3839,case-3652,case-3840,escalate,refuse_due_to_policy,trigger_phrase
pair_9,CASE-3651_vs_CASE-3841,case-3652,case-3842,escalate,refuse_due_to_policy,trigger_phrase
pair_10,CASE-3651_vs_CASE-3843,case-3652,case-3844,escalate,refuse_due_to_policy,trigger_phrase
pair_11,CASE-3651_vs_CASE-3845,case-3652,case-3846,escalate,refuse_due_to_policy,trigger_phrase
pair_12,CASE-3651_vs_CASE-3847,case-3652,case-3848,escalate,refuse_due_to_policy,trigger_phrase
pair_13,CASE-3651_vs_CASE-3849,case-3652,case-3850,escalate,refuse_due_to_policy,trigger_phrase
pair_14,CASE-3651_vs_CASE-3851,case-3652,case-3852,escalate,refuse_due_to_policy,trigger_phrase
pair_15,CASE-3651_vs_CASE-3853,case-3652,case-3854,escalate,refuse_due_to_policy,trigger_phrase
pair_16,CASE-3651_vs_CASE-3855,case-3652,case-3856,escalate,refuse_due_to_policy,trigger_phrase
pair_17,CASE-3651_vs_CASE-3857,case-3652,case-3858,escalate,refuse_due_to_policy,trigger_phrase
pair_18,CASE-3651_vs_CASE-3859,case-3652,case-3860,escalate,refuse_due_to_policy,trigger_phrase
pair_19,CASE-3651_vs_CASE-3861,case-3652,case-3862,escalate,refuse_due_to_policy,trigger_phrase
pair_20,CASE-3651_vs_CASE-3863,case-3652,case-3864,escalate,refuse_due_to_policy,trigger_phrase
pair_21,CASE-3651_vs_CASE-3865,case-3652,case-3866,escalate,refuse_due_to_policy,trigger_phrase
pair_22,CASE-3651_vs_CASE-3867,case-3652,case-3868,escalate,refuse_due_to_policy,trigger_phrase
pair_23,CASE-3651_vs_CASE-3869,case-3652,case-3870,escalate,refuse_due_to_policy,trigger_phrase
pair_24,CASE-3651_vs_CASE-3871,case-3652,case-3872,escalate,refuse_due_to_policy,trigger_phrase
pair_25,CASE-3651_vs_CASE-3873,case-3652,case-3874,escalate,refuse_due_to_policy,trigger_phrase
pair_26,CASE-3654_vs_CASE-3825,case-3655,case-3826,escalate,refuse_due_to_policy,trigger_phrase
pair_27,CASE-3654_vs_CASE-3827,case-3655,case-3828,escalate,refuse_due_to_policy,trigger_phrase
pair_28,CASE-3654_vs_CASE-3829,case-3655,case-3830,escalate,refuse_due_to_policy,trigger_phrase
