scenario_id,model,display_name,method,joint_revision_success,memory_state_accuracy,num_events,num_expected_evidence,approx_token_count
case-203501,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203502,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203503,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203504,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203505,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203506,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203507,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203508,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203509,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203510,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203511,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203512,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203513,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203514,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203515,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203516,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203517,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203518,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203519,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203520,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203521,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203522,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203523,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203524,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203525,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203526,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203527,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203528,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203529,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203530,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203531,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203532,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203533,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203534,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203535,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203536,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203537,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203538,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203539,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203540,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203541,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203542,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203543,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203544,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203545,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203546,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203547,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203548,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203549,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203550,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
case-203551,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,223
case-203552,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,229
case-203553,gemma3_12b,Gemma-3-12B,Direct,0.0,1.0,7,2,220
